"pathway","gene_name","CLIP_log2FC_5v0","CLIP_pvalue_5v0","CLIP_log2FC_30v5","CLIP_pvalue_30v5","significant_reversal","temporal_category","fill_group"
"Synaptic: decreased binding at 5 min","Adgrg1",-4.77869423839776,2.93457392387007e-06,5.37735370876247,0.000567836519637092,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Aplp1",-0.663029829185741,0.0206068990009803,1.94192074273745,0.0187359858517991,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Brinp2",-0.97182832377836,0.0127664197285844,1.80050110720857,0.00576356677822102,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Cacna1e",-0.385317781473599,0.0426490075328141,0.983237461551881,0.00733750561463135,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Cd63",-5.71555409946536,0.0164079580706844,7.73444904711258,0.0463198436007167,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Cdk5r1",-0.486007244263063,0.0462315718277391,1.55866947965425,0.0392121310784657,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Clstn1",-0.638125999039132,0.0475167306878096,1.43447094665797,0.0185076190517083,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Clstn2",-1.14007897081574,0.0335442633113986,2.35202000385133,0.0265453746574061,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Dcc",-0.889906408881701,0.00390062917470551,1.5861638891363,0.000834520135854773,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Gabrb2",-0.857252594686836,0.0188842074787292,1.86958100177197,0.000383885127232205,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Grik3",-1.60597523545792,0.0201587460611532,1.95695862471231,0.0340372965049631,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Hcn1",-1.19409742658714,0.00709133420431017,1.88282829279506,0.0106319008299112,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Hdac6",-5.18320363920233,0.00400438049352725,6.18399455932519,0.0327548418556103,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Kcnc2",-1.78475941353946,0.0100544813337141,1.98067270121012,0.007995316555593,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Lingo1",-0.784770669706413,0.0306703438497056,1.83014242125418,0.0107286917638504,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Magi2",-0.388294627320636,0.0323730094658929,1.17143839000044,0.000547777447393163,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Mink1",-1.35368545731541,0.00878584351104122,3.00140078369229,0.000218126476977268,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Nsf",-0.749910461047013,0.0330025938283152,1.34391324525563,0.00181572952627372,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Pacsin1",-1.64874676094339,0.0335089424747218,4.24431188167979,0.00141692664009183,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Pef1",-4.21938615485974,0.0066166171840115,5.58066936929454,0.0312413669236419,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Sema6b",-1.14452324347167,0.0491473894306749,2.25270903221764,0.0244177846933137,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Slitrk4",-1.23830491478391,0.0356859498651062,2.10260095440362,0.00718125826756515,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Spock1",-1.35500402899051,0.0385490134934052,1.66450089775569,0.0428787549183874,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Stxbp1",-0.584192821207348,0.0246667088681886,1.44191288487253,0.000612184302459524,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Syt1",-0.433773095427256,0.0368605054292267,1.53382753808267,0.00398895539709611,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Tnfrsf21",-0.965530028401838,0.000969604546016365,2.57229199364809,9.911359817964e-05,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Tubb5",-0.928885561860292,0.038230425676987,2.38765485864422,0.0274768469010841,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Ywhae",-0.69015604815968,0.0126369361997763,2.32173827599338,0.00426150715491635,TRUE,"Significant reversal","Synaptic reversal"
"Synaptic: decreased binding at 5 min","Actg1",-0.411887521509132,0.0281291024557194,-0.563486670816249,0.822981612606193,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Cplx1",-1.19766925073265,0.00677497931237237,0.717809290666742,0.565331782271728,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Cpne4",-0.686560952437783,0.0260793338220054,0.983192899415343,0.287638636015778,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Fgfr2",-0.319031127058399,0.0414708146736215,0.418047803027738,0.26444014260227,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Gmfb",-0.739954613061833,0.00164372530002083,-0.716013864200693,0.737285049824804,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Gng7",-1.55384501771599,0.00217280392833564,1.15931989980767,0.552064147590449,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Grm7",-0.909151212155795,0.00124181610438206,1.21169942748109,0.0735293700077729,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Hspd1",-0.789309729050311,0.0352415791107082,-0.743326394655083,0.611357930917046,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Insyn1",-0.813522917177204,0.0153914667783483,-0.0267621866765535,0.985843498080326,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Kat2a",-1.02090031800967,0.0112167242749768,-2.64864947257962,0.215354816504617,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Kcnj4",-0.651143953428759,0.042011517752615,-1.88274333125028,0.238937815734573,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Lgi1",-0.712715866944131,0.0316956105000836,1.25590127801196,0.0502438873253723,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Lrig2",-2.34319818370596,0.0320884959529884,1.81176401994014,0.222700329600765,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Mapk8ip2",-0.49567986126439,0.0410429253388321,0.894178165998945,0.212070395626883,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Rasgrf2",-0.477751334592474,0.0177324570109427,1.30738720518802,0.0917879376038569,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Rgs14",-3.12742305844162,0.0234285128582791,1.60553450987571,0.450288711054599,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Sec31a",-0.832529893135186,0.00415600088272749,-1.04977478183074,0.487061469897849,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Sema5a",-0.75675420411569,0.0287442152490265,0.940981212699805,0.0745253248900501,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Sema7a",-0.321742447593885,0.0126761182246292,0.393095105899904,0.807927153226067,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Septin5",-0.944588109220957,0.0464883757891701,0.4771115124495,0.797072336644293,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Setd5",-0.958722821256797,0.0428784708662465,0.600988103472842,0.747123755637918,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Shc3",-0.72605454202425,0.0332322324665539,0.323651563929399,0.673515917688022,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Slitrk2",-0.647668999286643,0.0369838581530467,0.895750577806887,0.0765662186645327,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Stmn2",-1.23724226984214,0.0249114139834631,0.821295983617059,0.501943254146097,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Syngr1",-0.821051325383887,0.00206311332669214,-2.08431803179145,0.187679599555104,FALSE,"No significant reversal","Synaptic no reversal"
"Synaptic: decreased binding at 5 min","Wnk3",-0.924126543506012,0.00864850142432405,0.448109873264631,0.594039526137758,FALSE,"No significant reversal","Synaptic no reversal"
"Nuclear: increased binding at 5 min","Cxcl12",4.72603330153022,0.00951070766189976,-5.72627811653177,0.0342481390147459,TRUE,"Significant reversal","Nuclear reversal"
"Nuclear: increased binding at 5 min","Far2",1.70912564303359,0.0289445928428066,-2.80188966669123,0.0245549531611494,TRUE,"Significant reversal","Nuclear reversal"
"Nuclear: increased binding at 5 min","Il33",3.64034925798264,0.0231390605346913,-9.16579946354605,1.50502254778549e-05,TRUE,"Significant reversal","Nuclear reversal"
"Nuclear: increased binding at 5 min","Msl3",3.77495294692456,0.00550004999949889,-6.14069013082818,0.00722551041552082,TRUE,"Significant reversal","Nuclear reversal"
"Nuclear: increased binding at 5 min","Nemf",0.83863183966662,0.0118913661279702,-2.98032594343042,0.0250338866203763,TRUE,"Significant reversal","Nuclear reversal"
"Nuclear: increased binding at 5 min","Snx7",3.19897092906735,0.00024560495763667,-4.9913071313594,0.00323032224515719,TRUE,"Significant reversal","Nuclear reversal"
"Nuclear: increased binding at 5 min","Uvssa",2.87990516365724,0.0271151203402601,-6.43762452971564,0.00135005244940592,TRUE,"Significant reversal","Nuclear reversal"
"Nuclear: increased binding at 5 min","Vps4b",2.91448189097208,0.0336602906853235,-5.25184136734459,0.0178170740230433,TRUE,"Significant reversal","Nuclear reversal"
"Nuclear: increased binding at 5 min","Akap13",0.580946401919537,0.0365197965527339,-1.64617953139392,0.109026126471699,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Appl1",0.521222814396612,0.00910661273661804,-1.56084945688325,0.294923343605291,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Atp5mc1",5.32680349917405,0.0101713945498138,-4.73532077641882,0.0982858733495857,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Gart",3.26421217571001,0.014079312762382,-3.57681429040661,0.112691072753342,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Gtf2a1",1.39106562396756,0.00428558352392128,-1.71860959060699,0.279294015012826,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Guk1",3.65389380780864,0.0303510798299874,-4.92485878004161,0.0678882991722018,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Hnrnpu",0.869849309899805,0.00665717124344892,-0.433004212658319,0.348995645903578,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Ipo7",0.50081641470359,0.0146060437390789,0.603922326639015,0.21472095693353,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Itch",0.792649041432094,0.0323360412117062,-1.08578901303926,0.383406610502384,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Jmjd1c",0.592835625822198,0.0302730528994787,-0.564402520519867,0.179109539681024,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Kif2a",0.642508133714978,0.0166643456059261,-0.907954533400401,0.482300248213873,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Phf20l1",0.745904570610568,0.048204697026529,-1.39770705076197,0.186036834718156,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Prlr",1.06770439210031,0.0493983968937929,-1.46078751955271,0.366034980729548,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Qki",0.59423444331891,0.0244965853322304,-0.69472131215655,0.162169641850779,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Setbp1",0.663358246262275,0.00533240397119964,-0.579455140011164,0.237799661255823,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Snca",0.815127737261354,0.00306629120837424,-1.32614273060266,0.256210624359004,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Sos1",0.75664460358625,0.0296937089678824,-0.765149522194482,0.14545447883238,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Taf2",0.787530589717022,0.036523729382062,-1.59261544043912,0.234853842720731,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Tlk2",2.91482587229728,0.00463360706651429,-3.5901188222803,0.0692975452824031,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Tnpo1",0.766697667565103,0.00371734844513742,-2.69596919620304,0.0654646811255463,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Txnrd1",0.722785368814026,0.0339477254562343,0.213786342014339,0.806187437230466,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Uap1",2.73908859820737,0.0366453794672935,-2.32481907403135,0.28793734401062,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Vcpip1",0.514417686381929,0.0334771235921136,-0.748510314557535,0.0669702742363029,FALSE,"No significant reversal","Nuclear no reversal"
"Nuclear: increased binding at 5 min","Washc1",4.24083235633567,0.0492835213051266,-2.31069467508735,0.477246973175167,FALSE,"No significant reversal","Nuclear no reversal"
