"Subset","Detail"
"30v5_Down","Rora"
"30v5_Down","Rpl22"
"30v5_Down","Rpl5"
"30v5_Down","Rps6ka3"
"30v5_Down","Rsbn1l"
"30v5_Down","Rtraf"
"30v5_Down","Rusc1"
"30v5_Down","Sall1"
"30v5_Down","Scrib"
"30v5_Down","Scrn1"
"30v5_Down","Scyl2"
"30v5_Down","Sec24a"
"30v5_Down","Selenoi"
"30v5_Down","Sesn1"
"30v5_Down","Sf1"
"30v5_Down","Sh3bp5"
"30v5_Down","Sidt2"
"30v5_Down","Slc19a2"
"30v5_Down","Slc25a16"
"30v5_Down","Slc39a12"
"30v5_Down","Slc41a1"
"30v5_Down","Slc6a1"
"30v5_Down","Slmap"
"30v5_Down","Slx4"
"30v5_Down","Smc4"
"30v5_Down","Smg8"
"30v5_Down","Snx1"
"30v5_Down","Snx18"
"30v5_Down","Socs3"
"30v5_Down","Sox4"
"30v5_Down","Spty2d1"
"30v5_Down","Srebf1"
"30v5_Down","Srrm3"
"30v5_Down","Ssb"
"30v5_Down","St8sia4"
"30v5_Down","Stag2"
"30v5_Down","Stambp"
"30v5_Down","Stat1"
"30v5_Down","Stip1"
"30v5_Down","Stmn4"
"30v5_Down","Stx2"
"30v5_Down","Stxbp3"
"30v5_Down","Synj2"
"30v5_Down","Tasor2"
"30v5_Down","Tcp1"
"30v5_Down","Tdrd7"
"30v5_Down","Tead1"
"30v5_Down","Tgs1"
"30v5_Down","Thtpa"
"30v5_Down","Tlr3"
"30v5_Down","Tmbim6"
"30v5_Down","Tmem144"
"30v5_Down","Tmem59"
"30v5_Down","Traf6"
"30v5_Down","Trappc13"
"30v5_Down","Trf"
"30v5_Down","Trp53bp2"
"30v5_Down","Txndc16"
"30v5_Down","Txnl4a"
"30v5_Down","Uba3"
"30v5_Down","Ubap1"
"30v5_Down","Ube2w"
"30v5_Down","Uggt1"
"30v5_Down","Ugt8a"
"30v5_Down","Unc5b"
"30v5_Down","Usp14"
"30v5_Down","Usp40"
"30v5_Down","Usp6nl"
"30v5_Down","Vegfa"
"30v5_Down","Vegfb"
"30v5_Down","Vezt"
"30v5_Down","Vipas39"
"30v5_Down","Vps39"
"30v5_Down","Vps50"
"30v5_Down","Wdr37"
"30v5_Down","Wrnip1"
"30v5_Down","Yaf2"
"30v5_Down","Yeats2"
"30v5_Down","Zbtb1"
"30v5_Down","Zbtb22"
"30v5_Down","Zbtb5"
"30v5_Down","Zc3hav1"
"30v5_Down","Zfp120"
"30v5_Down","Zfp275"
"30v5_Down","Zfp36"
"30v5_Down","Zfp36l1"
"30v5_Down","Zfp397"
"30v5_Down","Zfp422"
"30v5_Down","Zfp46"
"30v5_Down","Zfp606"
"30v5_Down","Zfp667"
"30v5_Down","Zfp68"
"30v5_Down","Zfp777"
"30v5_Down","Zfp942"
"30v5_Down","Zfp991"
"30v5_Down","Zkscan17"
"30v5_Down","Zrsr2"
"30v5_Up","Abhd8"
"30v5_Up","Abi2"
