"Comparison","gene_name","Group","CH_NPvsCB_log2FC","CLIP_log2FC","CLIP_p_value","RiboTag_log2FC","RiboTag_p_value"
"30v5","Abhd8","CLIP_Bound_30v5",3.3730073949296124,1.546554450080042,0.015373742096688875,-0.0472446700683847,0.4791853488812101
"30v5","Abi2","CLIP_Bound_30v5",-1.0911090770137362,1.228330284402888,0.005275588538310161,0.03660201374235785,0.38606206883837757
"30v5","Abr","CLIP_Bound_30v5",-0.09733576404200792,0.866147588339095,0.023421193459636412,-0.006914142168089501,0.9129754355043025
"30v5","Acox1","CLIP_Bound_30v5",1.0287367294729026,1.7775304114943284,0.009638790592633104,0.0578268412263058,0.4587353490765399
"30v5","Acp1","CLIP_Bound_30v5",-0.6488520559718192,-6.9441702539706,0.004310728350700048,0.026752028418941504,0.606264949840141
"30v5","Actb","CLIP_Bound_30v5",-0.37889610401318147,1.8231529663175516,0.013770559380300468,0.021948790159103018,0.6767870729855885
"30v5","Actn1","CLIP_Bound_30v5",-1.3724094156548783,-1.8898726006448883,0.048917661297385596,-0.042870540666842434,0.5457416347102322
"30v5","Adamts4","CLIP_Bound_30v5",2.7023285345388723,-5.829706605799124,0.008043944809187362,-0.07285093490276884,0.6930547536672853
"30v5","Adcy1","CLIP_Bound_30v5",3.004332177781828,1.1935984236812178,0.015088579710880574,-0.13781483125229915,0.1451913454525583
"30v5","Adgrl2","CLIP_Bound_30v5",-1.561765615979072,0.9957212991199054,0.03663837938245477,-0.13943661170315189,0.33351710211929264
"30v5","Afg3l1","CLIP_Bound_30v5",1.3903574246092538,-5.722180099838111,0.010141627345324254,0.006331664285095392,0.9444168528078228
"30v5","Ahcyl2","CLIP_Bound_30v5",1.0745126085194143,1.616936787826783,0.004889206315393384,-0.10512603121732447,0.2057114080678702
"30v5","Ahi1","CLIP_Bound_30v5",-1.069140712125145,0.9909429861115218,0.01960218099336301,0.11632808138611898,0.29762114127882877
"30v5","Ahnak","CLIP_Bound_30v5",4.033357730873625,-2.169141147510606,3.4748577161990146e-4,0.0555191201725885,0.6997627730031648
"30v5","Aldh2","CLIP_Bound_30v5",1.9262372664398801,-3.709842488688981,0.012137579695379345,0.10931766761227885,0.39086451822235824
"30v5","Amz1","CLIP_Bound_30v5",0.9979009184466668,-5.435016184978453,8.514018950523477e-4,0.20290139964399848,0.4236763096106887
"30v5","Anapc4","CLIP_Bound_30v5",-0.11254743144566919,-6.248508227762442,2.264521980395057e-4,0.21946450349529933,0.1821696497817022
"30v5","Ank1","CLIP_Bound_30v5",2.047094603447166,-3.030117383019073,0.02519160444136791,-0.3987415171317528,0.054260811938855735
"30v5","Ank3","CLIP_Bound_30v5",-0.586694495009168,0.7268501466074024,0.046619169990422676,-0.09405721332367094,0.1325289880700276
"30v5","Ankrd13b","CLIP_Bound_30v5",2.4595917160296676,-6.292570164008465,0.010892478979615622,0.08008534170737,0.3775856145088591
"30v5","Anks1","CLIP_Bound_30v5",3.1209607061967914,-4.237339263601919,0.008168449795812521,0.07686710443929834,0.5830048188276995
"30v5","Apoe","CLIP_Bound_30v5",5.296044527114832,-6.603686114457165,0.01952823926698647,0.07569478526344514,0.4909453900823375
"30v5","Arap2","CLIP_Bound_30v5",-0.7267034383807334,-1.0816283797906725,0.04221075884405781,-0.005713128380866293,0.9573642500917389
"30v5","Arf3","CLIP_Bound_30v5",1.7397631056374818,1.6807677296381556,0.022377881108041908,-0.0017135908640079653,0.9708099257680465
"30v5","Arhgap29","CLIP_Bound_30v5",0.7353822744785814,-3.3836497985241194,0.03347856397844161,0.05844182231636466,0.5820770698507882
"30v5","Arl8a","CLIP_Bound_30v5",-0.1931813474826423,4.224008003860556,0.03862719174390365,-0.08801438800005978,0.12325993890421501
"30v5","Arnt2","CLIP_Bound_30v5",2.2865860585984312,0.916341873868423,0.011304601014491716,0.029136094393724145,0.7209873841145891
"30v5","Astn2","CLIP_Bound_30v5",0.7011867906769171,1.0441090593403421,0.030413735612317947,-0.08816612977187048,0.4626912420108967
"30v5","Atf6","CLIP_Bound_30v5",-0.547905663837347,1.4415248819512483,0.013161129189485329,-0.05460699045725151,0.30413773775082986
"30v5","Atg16l1","CLIP_Bound_30v5",-1.0210605822088565,-4.729469635838261,0.006550294961866501,0.09058798010834712,0.1584036927163995
"30v5","Atn1","CLIP_Bound_30v5",2.521508283962081,1.7350736766210186,0.028700950901102553,-0.006834277993674615,0.9084306249228201
"30v5","Atp5f1a","CLIP_Bound_30v5",0.4690611843215231,0.9660683672030972,0.013517080720825683,-0.0032145974977282245,0.9525338340733955
"30v5","Atp6v1b2","CLIP_Bound_30v5",-1.3047725542686854,0.9557598774249083,0.01758405445754197,-0.030571592951341854,0.5881575182345695
"30v5","Atp6v1e1","CLIP_Bound_30v5",-1.1622587480374158,2.922490618203274,0.04421297992462098,-0.0160505979293911,0.7661468567494909
"30v5","Atxn1","CLIP_Bound_30v5",1.5819201812537138,0.933031115979067,0.016208816369741728,0.037693030888775604,0.325389776345685
"30v5","Auts2","CLIP_Bound_30v5",1.1369314140622038,1.611993976538145,0.009456249605374417,0.03596055851308122,0.6496900167900216
"30v5","B3gat1","CLIP_Bound_30v5",1.711590012219055,1.614121289241738,0.0287412476348547,-0.01408631978081729,0.8366261345570593
"30v5","Bag1","CLIP_Bound_30v5",0.0643601558666842,-6.024148723923025,0.04585572666165323,-0.08151820436344877,0.4979654418292624
"30v5","Baz2b","CLIP_Bound_30v5",0.9825514634273034,-2.307997090816792,0.00953080371739938,0.0497898525835774,0.6250748046820527
"30v5","Bcl11b","CLIP_Bound_30v5",0.9246760544280429,1.3942273785769719,0.03383679327413152,-0.08770574427411011,0.20743495891277342
"30v5","Bcr","CLIP_Bound_30v5",2.325490497744071,0.9203724441788874,0.008865288892167268,0.14295626902450198,0.0657195208062214
"30v5","Bhlhb9","CLIP_Bound_30v5",-1.6747349276108725,-6.410497654892447,0.034326672445423055,0.14409954986789103,0.0514654418449632
"30v5","Bnip3l","CLIP_Bound_30v5",-1.5188482984512153,-5.679147367961412,0.011110895168705254,0.06393060811901699,0.36349725741925454
"30v5","Brap","CLIP_Bound_30v5",-0.3206489019021115,-4.799853611663864,0.012616745028944916,0.03462358510010698,0.5651891094170405
