"Comparison","gene_name","CLIP_log2FC","CLIP_p_value","RiboTag_log2FC","CLIP_direction"
"30v5","Aars1",-4.074658172585858,0.04749252164715666,-0.22952197316106085,"CLIP_Down"
"30v5","Acp1",-6.9441702539706,0.004310728350700048,0.026752028418941504,"CLIP_Down"
"30v5","Acsl6",-5.771809978598078,0.010862076373531275,-0.1354149108050355,"CLIP_Down"
"30v5","Actn1",-1.8898726006448883,0.048917661297385596,-0.042870540666842434,"CLIP_Down"
"30v5","Adamts4",-5.829706605799124,0.008043944809187362,-0.07285093490276884,"CLIP_Down"
"30v5","Afg3l1",-5.722180099838111,0.010141627345324254,0.006331664285095392,"CLIP_Down"
"30v5","Ahnak",-2.169141147510606,3.4748577161990146e-4,0.0555191201725885,"CLIP_Down"
"30v5","Aldh2",-3.709842488688981,0.012137579695379345,0.10931766761227885,"CLIP_Down"
"30v5","Aldoc",-8.72185049650128,0.009687246389104726,0.23896179278725738,"CLIP_Down"
"30v5","Amz1",-5.435016184978453,8.514018950523477e-4,0.20290139964399848,"CLIP_Down"
"30v5","Anapc4",-6.248508227762442,2.264521980395057e-4,0.21946450349529933,"CLIP_Down"
"30v5","Ank1",-3.030117383019073,0.02519160444136791,-0.3987415171317528,"CLIP_Down"
"30v5","Ankrd13b",-6.292570164008465,0.010892478979615622,0.08008534170737,"CLIP_Down"
"30v5","Anks1",-4.237339263601919,0.008168449795812521,0.07686710443929834,"CLIP_Down"
"30v5","Apoe",-6.603686114457165,0.01952823926698647,0.07569478526344514,"CLIP_Down"
"30v5","Arap2",-1.0816283797906725,0.04221075884405781,-0.005713128380866293,"CLIP_Down"
"30v5","Arhgap29",-3.3836497985241194,0.03347856397844161,0.05844182231636466,"CLIP_Down"
"30v5","Atf4",-6.475352784134736,0.029439218382837105,0.31110834048325225,"CLIP_Down"
"30v5","Atg16l1",-4.729469635838261,0.006550294961866501,0.09058798010834712,"CLIP_Down"
"30v5","Atp6v0a1",-3.008130230182492,0.047664020489496625,-0.12645614872237418,"CLIP_Down"
"30v5","Bag1",-6.024148723923025,0.04585572666165323,-0.08151820436344877,"CLIP_Down"
"30v5","Baz2b",-2.307997090816792,0.00953080371739938,0.0497898525835774,"CLIP_Down"
"30v5","Bbs7",-4.339307194219823,0.04311309817372663,0.4232403734242062,"CLIP_Down"
"30v5","Bhlhb9",-6.410497654892447,0.034326672445423055,0.14409954986789103,"CLIP_Down"
"30v5","Bnip3l",-5.679147367961412,0.011110895168705254,0.06393060811901699,"CLIP_Down"
"30v5","Bpnt2",-3.7458146016161127,0.02984924746191329,-0.13759414523600935,"CLIP_Down"
"30v5","Brap",-4.799853611663864,0.012616745028944916,0.03462358510010698,"CLIP_Down"
"30v5","Bsdc1",-4.422327473241335,0.008417126204485459,0.1501310937969169,"CLIP_Down"
"30v5","Cab39l",-2.788567450459454,0.046530083572994985,0.12827094584728171,"CLIP_Down"
"30v5","Calcoco1",-4.080923882139401,0.044245715647100066,-0.06140489060541917,"CLIP_Down"
"30v5","Capn2",-3.5136551235937916,0.023032970531579777,-0.07532309590164431,"CLIP_Down"
"30v5","Car10",-1.7702422870154604,0.009423928141738761,-0.26768018422959616,"CLIP_Down"
"30v5","Cc2d1b",-4.18144258353017,0.03282990233082511,0.1432178070778526,"CLIP_Down"
"30v5","Ccdc141",-5.253136054133832,2.4842213871610136e-4,-0.5663419872125193,"CLIP_Down"
"30v5","Ccdc50",-4.613190968556589,0.00800527654874327,0.20373957510404,"CLIP_Down"
