"gene_name","CLIP_log2FC_5v0","CLIP_pvalue_5v0","Significant_5v0","Direction_5v0","CLIP_log2FC_30v5","CLIP_pvalue_30v5","Significant_30v5","Direction_30v5","Detected_in_5v0_CLIP_analysis","Detected_in_30v5_CLIP_analysis"
"Camk2n1",-0.40577504430854106,0.30553483012541305,FALSE,"Not significant",0.8079907885886088,0.0732607804886709,FALSE,"Not significant",TRUE,TRUE
"Camk2n2",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Camsap2",-0.2662612149006227,0.2881813838041936,FALSE,"Not significant",1.1168143000766753,0.007543692157993423,TRUE,"Increased",TRUE,TRUE
"Camta2",1.6059439679396146,0.35060976879254413,FALSE,"Not significant",-2.2676149119446785,0.39487408464488205,FALSE,"Not significant",TRUE,TRUE
"Cbx6",-0.45626165848497724,0.3260326834447982,FALSE,"Not significant",1.5760617869670535,0.02359491488774689,TRUE,"Increased",TRUE,TRUE
"Ccdc174",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Cdc42bpb",-0.14570834334053995,0.2438883564940566,FALSE,"Not significant",-0.23737843675267012,0.577398324914685,FALSE,"Not significant",TRUE,TRUE
"Cdh8",0.22510780640021588,0.7682910101055626,FALSE,"Not significant",2.3174288572196664,0.0475753415944006,TRUE,"Increased",TRUE,TRUE
"Cdk16",-0.19748318275222054,0.26600866893846803,FALSE,"Not significant",0.7459899322627628,0.15181601015526894,FALSE,"Not significant",TRUE,TRUE
"Cdkl5",0.05333138844336793,0.7910371359906218,FALSE,"Not significant",0.24440890276256577,0.5675500922077957,FALSE,"Not significant",TRUE,TRUE
"Celf4",-0.19038787659481393,0.45760414601804045,FALSE,"Not significant",1.0415371631797958,0.06062176014049557,FALSE,"Not significant",TRUE,TRUE
"Cep162",NA,NA,FALSE,"Not detected",NA,NA,FALSE,"Not detected",FALSE,FALSE
"Cep170b",-0.5994658734391383,0.1458920265691693,FALSE,"Not significant",1.1494208055310269,0.0864110810555909,FALSE,"Not significant",TRUE,TRUE
