"gene_name","Control_0min_Mean_CLIPscore","Control_0min_Binding_Category","Opto_5min_Mean_CLIPscore","Opto_5min_Binding_Category","Opto_30min_Mean_CLIPscore","Opto_30min_Binding_Category"
"Chuk",4.10847419158832,"Stringent_target",3.55397962911103,"High_binding",1.99403680315577,"Non_target"
"Churc1",-2.74599081108099,"Non_target",-2.83354278374558,"Non_target",-2.12724403994042,"Non_target"
"Ciao1",-2.88601224393717,"Non_target",-2.92416297235526,"Non_target",-2.30909415546501,"Non_target"
"Ciao2a",-1.86450521696234,"Non_target",-1.88982091889442,"Non_target",-1.38611486751322,"Non_target"
"Ciao2b",-1.96328593407236,"Non_target",-1.98121799604641,"Non_target",-1.44753596890921,"Non_target"
"Ciao3",-2.03370470355707,"Non_target",-2.10137038499674,"Non_target",-1.44497140454437,"Non_target"
"Ciapin1",-3.0964855849048,"Non_target",-3.35351055742362,"Non_target",-2.35135430444153,"Non_target"
"Ciart",-3.42212119413494,"Non_target",-3.45240968707741,"Non_target",-2.4653498816505,"Non_target"
"Cib1",-0.82167427104504,"Non_target",-1.02219169030801,"Non_target",-0.532946708526123,"Non_target"
"Cib2",-1.4090156771871,"Non_target",-1.43031907830186,"Non_target",-1.07012264608234,"Non_target"
"Cibar1",-3.08087615558148,"Non_target",-3.12341924792634,"Non_target",-2.40840282234704,"Non_target"
"Cic",4.67452454094323,"Stringent_target",3.78610913433135,"High_binding",4.62880303921822,"Stringent_target"
"Cidea",-1.37740850074628,"Non_target",-1.60148899471607,"Non_target",-1.1582993241953,"Non_target"
"Cilk1",-1.31622120651467,"Non_target",-1.32982150666809,"Non_target",-0.862846040875086,"Non_target"
"Cinp",-2.36871964767501,"Non_target",-2.37683365350191,"Non_target",-1.74087249520125,"Non_target"
"Cip2a",0.54671079694715,"Non_target",0.469797490693153,"Non_target",0.544408500568852,"Non_target"
"Cipc",1.47825684582073,"Non_target",2.89858336687584,"Low_binding",4.52453938412564,"Stringent_target"
"Cir1",-2.19103936279106,"Non_target",-2.31044649343743,"Non_target",-1.66892403643176,"Non_target"
"Cirbp",-3.38013603798476,"Non_target",-3.51378923744951,"Non_target",-2.78687838110369,"Non_target"
"Cisd1",-3.89290157365748,"Non_target",-4.00982851621448,"Non_target",-3.12486526577123,"Non_target"
"Cisd2",-2.37285675815118,"Non_target",-2.49979875284068,"Non_target",-1.82174266978693,"Non_target"
"Cisd3",-2.77945517218221,"Non_target",-2.75995507028832,"Non_target",-2.19021003263296,"Non_target"
"Cish",0.317292527399537,"Non_target",0.333896256664677,"Non_target",0.567621559685592,"Non_target"
"Cit",-0.75706024299628,"Non_target",-0.590050130701634,"Non_target",-0.38099471414948,"Non_target"
"Cited1",0.567323910487914,"Non_target",0.494747987791356,"Non_target",0.523169367322947,"Non_target"
"Cited2",-2.86838945533961,"Non_target",-3.04761425456234,"Non_target",-2.04663860299923,"Non_target"
"Cited4",-0.0821614105181411,"Non_target",-0.391202129406443,"Non_target",0.182203264115882,"Non_target"
"Ciz1",-2.69930688867397,"Non_target",-2.76991440394436,"Non_target",-2.04299493665878,"Non_target"
"Ckap4",-2.07782903013444,"Non_target",-2.36333520537341,"Non_target",-1.75427958888345,"Non_target"
"Ckap5",4.32863451703088,"Stringent_target",4.42086455627415,"Stringent_target",4.59333287348542,"Stringent_target"
"Ckb",2.7757908731163,"Low_binding",5.27314540729856,"Stringent_target",3.10718749231006,"High_binding"
"Ckmt1",-4.45187048943325,"Non_target",-4.49119848853876,"Non_target",-3.47653544237172,"Non_target"
"Cks1b",0.00922505744299251,"Non_target",-0.0808616641537051,"Non_target",-0.135421796221598,"Non_target"
"Cks2",0.0904993460808415,"Non_target",-0.272814226535436,"Non_target",-0.190621736887553,"Non_target"
"Clasp1",-1.4084338308554,"Non_target",-1.01241028317256,"Non_target",-0.316183350134713,"Non_target"
"Clasp2",4.46622532268896,"Stringent_target",4.35471640616068,"Stringent_target",4.88230426164246,"Stringent_target"
"Clasrp",-1.71254484203798,"Non_target",-1.81526924571615,"Non_target",-1.2861790345103,"Non_target"
"Clba1",-1.35705333729517,"Non_target",-1.48837151623718,"Non_target",-0.990933456363866,"Non_target"
"Clcc1",-2.2004391521648,"Non_target",-2.39539607823305,"Non_target",-1.81117413232937,"Non_target"
"Clcn2",-2.03729133942302,"Non_target",-2.11690903212085,"Non_target",-1.5989041487407,"Non_target"
"Clcn3",1.53868789154359,"Non_target",1.9783852060292,"Non_target",-0.28885680343471,"Non_target"
"Clcn4",3.70315490221649,"High_binding",3.93812536049549,"High_binding",4.18365614752587,"Stringent_target"
"Clcn5",-0.119528422456438,"Non_target",-0.4827310795783,"Non_target",-0.0432278238243158,"Non_target"
"Clcn6",-2.8866348002757,"Non_target",-3.18376838454021,"Non_target",-2.41106863628238,"Non_target"
"Clcn7",0.952645879102506,"Non_target",0.469057786049319,"Non_target",-0.518744838419834,"Non_target"
"Clcnka",-0.400737462314245,"Non_target",-0.539028403140093,"Non_target",-0.347441611698343,"Non_target"
"Cldn1",0.704011137346008,"Non_target",0.603824734942542,"Non_target",0.754921898376565,"Non_target"
"Cldn10",-1.68241567777898,"Non_target",-1.79048007574604,"Non_target",-1.20983408315946,"Non_target"
"Cldn11",1.74637305060259,"Non_target",3.09873045691515,"High_binding",1.20347211612976,"Non_target"
"Cldn12",-2.60161741708914,"Non_target",-2.72615547217072,"Non_target",-1.85055478871195,"Non_target"
"Cldn22",-0.787425460476437,"Non_target",-1.13768539694423,"Non_target",-0.942037345447663,"Non_target"
"Cldn23",0.310861371876621,"Non_target",0.241781425678353,"Non_target",0.42165689063733,"Non_target"
"Cldn34c1",1.21907526138905,"Non_target",2.91709696139662,"Low_binding",0.969467234609834,"Non_target"
"Cldnd1",-2.98041712796805,"Non_target",-3.13676357699009,"Non_target",-2.29908112642582,"Non_target"
"Clec11a",-0.373843722831926,"Non_target",-0.29423883024634,"Non_target",-0.0777828650116709,"Non_target"
"Clec16a",2.55905424068377,"Low_binding",1.46619832101881,"Non_target",0.675944443361008,"Non_target"
"Clec2l",-2.74181702106836,"Non_target",-2.85520678195758,"Non_target",-2.19418703326199,"Non_target"
"Clgn",-0.660096037997152,"Non_target",-0.632026494039633,"Non_target",-0.344515133662861,"Non_target"
"Clic1",0.494605636695023,"Non_target",0.163802472910136,"Non_target",0.321946352835915,"Non_target"
"Clic4",2.51530501750625,"Low_binding",3.93114348455118,"High_binding",2.6531381549299,"Low_binding"
"Clic6",0.299811691214419,"Non_target",0.372236796386381,"Non_target",0.598915283871842,"Non_target"
"Clint1",2.68483771992974,"Low_binding",2.70375917866877,"Low_binding",0.416636232586071,"Non_target"
"Clip1",-3.32706219721878,"Non_target",-3.44166752853816,"Non_target",-2.59765250771401,"Non_target"
"Clip2",2.78249722738075,"Low_binding",3.03437892272949,"High_binding",1.3720116566326,"Non_target"
"Clip3",2.91270266041884,"Low_binding",2.77845987893765,"Low_binding",2.92170647107785,"Low_binding"
"Clip4",1.69867134878893,"Non_target",1.81787267229159,"Non_target",0.704357540211162,"Non_target"
"Clk1",-2.81810334347773,"Non_target",-2.71499220922627,"Non_target",-1.61520100682762,"Non_target"
"Clk2",-1.557711160315,"Non_target",-1.65242293062149,"Non_target",-1.12386428805258,"Non_target"
"Clk3",-2.53261925835571,"Non_target",-2.51367705508164,"Non_target",-1.76923393538882,"Non_target"
"Clk4",-2.91772566369467,"Non_target",-2.70783175930073,"Non_target",-1.79931546935514,"Non_target"
"Clmn",5.28680443311515,"Stringent_target",5.18738850806824,"Stringent_target",4.39801716375662,"Stringent_target"
"Clmp",-2.30206415832796,"Non_target",-2.43391115097075,"Non_target",-1.90468268533641,"Non_target"
"Cln3",-1.64188572424967,"Non_target",-1.58396902018997,"Non_target",-1.1858653705375,"Non_target"
"Cln5",-1.1244930955724,"Non_target",-1.22376003508317,"Non_target",-0.839501860372501,"Non_target"
"Cln6",-1.46096696077709,"Non_target",-1.84017696278257,"Non_target",-1.36791252198009,"Non_target"
"Cln8",-1.3072530697952,"Non_target",-1.48621194546772,"Non_target",-1.00685946417347,"Non_target"
"Clns1a",-3.64211905427594,"Non_target",-3.7142203151025,"Non_target",-2.85902380432258,"Non_target"
"Clock",3.30134047734297,"High_binding",3.21309108358988,"High_binding",3.30196579730853,"High_binding"
"Clp1",-0.702481556803208,"Non_target",-0.649687347675481,"Non_target",-0.43042869316166,"Non_target"
"Clpb",-2.97126222322227,"Non_target",-3.13035655074518,"Non_target",-2.32071103912975,"Non_target"
"Clpp",-2.74438618817164,"Non_target",-2.91882132820917,"Non_target",-2.16792448145303,"Non_target"
"Clptm1",-3.6288675107814,"Non_target",-3.87220087043377,"Non_target",-2.98328929893123,"Non_target"
"Clptm1l",2.59040010297046,"Low_binding",0.150876672883962,"Non_target",-0.401284777684843,"Non_target"
"Clpx",2.57450548577393,"Low_binding",2.76956522864814,"Low_binding",-0.749355980481047,"Non_target"
"Clstn1",2.12489776955368,"Low_binding",1.48677177051455,"Non_target",2.14911331544131,"Low_binding"
"Clstn2",-1.06484989048656,"Non_target",-2.20492886130229,"Non_target",-0.939579347999358,"Non_target"
"Clstn3",0.434799052591416,"Non_target",1.26941362629149,"Non_target",-0.718734645462166,"Non_target"
"Clta",-4.73746913850644,"Non_target",-4.78941056442688,"Non_target",-3.78337775371685,"Non_target"
"Cltb",-4.33325557127718,"Non_target",-4.44154860866905,"Non_target",-3.4989766964068,"Non_target"
"Cltc",4.6555027651143,"Stringent_target",4.68128665967861,"Stringent_target",4.77330651763102,"Stringent_target"
"Clu",-0.161533105029839,"Non_target",1.84543413778218,"Non_target",-0.526361732590802,"Non_target"
"Cluap1",-2.31477416181226,"Non_target",-2.24027419900958,"Non_target",-1.67539826489539,"Non_target"
"Cluh",4.84966540482327,"Stringent_target",4.47281075126734,"Stringent_target",2.42613134815559,"Low_binding"
"Clvs1",-1.71326037465531,"Non_target",-2.27952289115493,"Non_target",-2.06118172172745,"Non_target"
"Clvs2",-0.984486402916034,"Non_target",-0.754482165527515,"Non_target",-0.253264733920506,"Non_target"
"Clxn",-0.786189241036487,"Non_target",-0.776539891195989,"Non_target",-0.359163123282418,"Non_target"
"Clybl",-1.91395735918463,"Non_target",-1.95155138454716,"Non_target",-1.37743435560925,"Non_target"
"Cmas",1.86105251779247,"Non_target",2.51534695491613,"Low_binding",1.3007917971065,"Non_target"
"Cmbl",-1.15435917172158,"Non_target",-1.35052197728614,"Non_target",-1.00290902363026,"Non_target"
"Cmc1",-1.47894526129526,"Non_target",-1.57485046684628,"Non_target",-1.09662315579005,"Non_target"
