"comp","universe_n","targets_in_universe_n","RT_up_n","RT_down_n","targets_in_RT_up_n","targets_in_RT_down_n","p_up_raw","p_up_BH","p_down_raw","p_down_BH"
"5v0",15242,4794,637,458,346,275,6.195295780604077e-37,6.195295780604077e-37,7.885607857761219e-41,1.5771215715522438e-40
"30v5",15594,4799,640,717,358,349,4.775387592680242e-45,9.550775185360484e-45,2.115976591941857e-26,2.115976591941857e-26
