"Comparison","gene_name","RiboTag_log2FC","RiboTag_pvalue","RiboTag_padj","Status","Volcano_label"
"5v0","Slc7a3",2.291857647058398,5.162330065383184e-25,5.5799625676726834e-21,"RiboTag_Up","Not labeled"
"5v0","Lhfpl2",0.7165720891379312,3.708237322160119e-24,2.0041168607614365e-20,"RiboTag_Up","Not labeled"
"5v0","Slc7a5",0.7447001451316911,2.652507832266943e-22,9.556985719657795e-19,"RiboTag_Up","Not labeled"
"5v0","Atf5",0.9540565741682789,5.363572046311186e-21,1.4493712562144403e-17,"RiboTag_Up","Not labeled"
"5v0","Cyb5r1",0.6936836690848782,3.850537839900304e-18,8.324092702296478e-15,"RiboTag_Up","Not labeled"
"5v0","Rgs4",-0.5077675819532418,4.978941113621949e-18,8.969562416189942e-15,"RiboTag_Down","Not labeled"
"5v0","Dhcr24",0.569110266181583,3.849545327926661e-17,5.944247921365611e-14,"RiboTag_Up","Not labeled"
"5v0","Per2",-0.7270884899797945,3.7497488996210067e-16,5.066379482000433e-13,"RiboTag_Down","Labeled decreased gene"
"5v0","Gpnmb",0.7964255426962086,4.839116611369941e-16,5.811779050255299e-13,"RiboTag_Up","Not labeled"
"5v0","Stc2",1.0491797605958735,6.160616593309154e-16,6.659010475707865e-13,"RiboTag_Up","Labeled increased gene"
"5v0","Kitl",-0.6692074408914118,1.239017542944206e-15,1.2175036928803566e-12,"RiboTag_Down","Not labeled"
"5v0","Clstn2",0.36238632706802243,3.215273804904838e-15,2.6733765044012613e-12,"RiboTag_Up","Labeled increased gene"
"5v0","St6gal2",0.40524614803550474,2.977266028383825e-15,2.6733765044012613e-12,"RiboTag_Up","Not labeled"
"5v0","Dbpht2",-0.6209760983732832,3.596004895241991e-15,2.7763726366193343e-12,"RiboTag_Down","Not labeled"
"5v0","Rnf217",-0.7734930751574449,7.249679506603675e-15,5.224119052458608e-12,"RiboTag_Down","Not labeled"
"5v0","Sez6l2",0.2924988293234371,1.1965005473688252e-13,8.08310901031852e-11,"RiboTag_Up","Not labeled"
"5v0","Shmt2",0.802788912016185,1.4313637701514959e-13,9.100947642098542e-11,"RiboTag_Up","Not labeled"
"5v0","Slc1a4",0.6848944514802362,5.767418175059421e-13,3.4633346141231824e-10,"RiboTag_Up","Not labeled"
"5v0","Sez6l",0.3172728171782349,1.1497288680136107e-12,6.540747018083747e-10,"RiboTag_Up","Not labeled"
"5v0","Cntnap5b",0.49205252246238734,2.8214229262700877e-12,1.5248380205026691e-9,"RiboTag_Up","Not labeled"
"5v0","Frzb",0.46621779112239037,3.935409335229392e-12,2.025611404975928e-9,"RiboTag_Up","Not labeled"
"5v0","Npy2r",0.5399627410109978,6.682715917992638e-12,3.14058592859054e-9,"RiboTag_Up","Labeled increased gene"
"5v0","Peli1",-0.5482350373579711,6.6270124525197956e-12,3.14058592859054e-9,"RiboTag_Down","Labeled decreased gene"
"5v0","Stard5",0.9813057535452994,2.7426173541410772e-11,1.2352062908712876e-8,"RiboTag_Up","Not labeled"
"5v0","Arsb",0.28204876146582,5.470098618260211e-11,2.3650518385909848e-8,"RiboTag_Up","Not labeled"
"5v0","1700086L19Rik",-0.5328575037777861,7.694290718649618e-11,3.1987533991493736e-8,"RiboTag_Down","Not labeled"
"5v0","Grm2",0.3600635825815402,8.219455466814934e-11,3.290522005214912e-8,"RiboTag_Up","Labeled increased gene"
"5v0","Tspan18",0.5161479573350196,1.346286807126585e-10,5.197147892225449e-8,"RiboTag_Up","Not labeled"
"5v0","Pcdh1",0.27173849008022477,1.4295123518180595e-10,5.328137589931519e-8,"RiboTag_Up","Not labeled"
"5v0","Homer1",-0.4466795499902121,2.0068762782017841e-10,7.230775230361028e-8,"RiboTag_Down","Not labeled"
"5v0","Npnt",0.36790892265923436,2.3310603434450186e-10,7.873884766342876e-8,"RiboTag_Up","Not labeled"
"5v0","Ptpro",0.3935566390560401,2.267041895042812e-10,7.873884766342876e-8,"RiboTag_Up","Not labeled"
"5v0","Slit1",0.29818929432409585,2.4423787298479687e-10,7.999900512402029e-8,"RiboTag_Up","Not labeled"
"5v0","Dusp5",-0.751004571538124,4.300354537884084e-10,1.3671332999996786e-7,"RiboTag_Down","Not labeled"
"5v0","Islr2",0.49246533153565963,5.23167817648827e-10,1.570811372490603e-7,"RiboTag_Up","Not labeled"
"5v0","Rtn4r",0.4049179376896544,5.170390670794758e-10,1.570811372490603e-7,"RiboTag_Up","Not labeled"
"5v0","Spock1",0.6050451757527984,7.509950308431853e-10,2.1939203482118894e-7,"RiboTag_Up","Not labeled"
"5v0","Piga",-0.6611003319703059,8.786871580144718e-10,2.499402497625902e-7,"RiboTag_Down","Not labeled"
"5v0","Csrnp1",-0.49049984734447694,9.45345210360052e-10,2.620060609944052e-7,"RiboTag_Down","Not labeled"
"5v0","Kcna1",0.29357007255898554,1.011376472806609e-9,2.7329920736416596e-7,"RiboTag_Up","Not labeled"
"5v0","Slc6a9",0.5584407823051691,1.249941432657947e-9,3.2952724257560364e-7,"RiboTag_Up","Labeled increased gene"
"5v0","Chac1",0.9198781410777469,1.3933470463636682e-9,3.5858781486059256e-7,"RiboTag_Up","Not labeled"
"5v0","Slc6a17",0.2880943800090539,3.071367897709e-9,7.720561768915484e-7,"RiboTag_Up","Not labeled"
"5v0","Frmd6",-0.6096553497590327,4.299959419387493e-9,1.041174917396736e-6,"RiboTag_Down","Not labeled"
"5v0","Slc38a1",0.3379338811266762,4.3346166419514415e-9,1.041174917396736e-6,"RiboTag_Up","Labeled increased gene"
"5v0","Osgin2",-0.5770606029365617,5.7528136411502755e-9,1.3517861445042028e-6,"RiboTag_Down","Not labeled"
"5v0","Mycl",0.45635759337617166,6.36347692338224e-9,1.4634642992518856e-6,"RiboTag_Up","Not labeled"
"5v0","Lonrf1",-0.5082372199228473,6.5437216318552386e-9,1.4735643149734015e-6,"RiboTag_Down","Not labeled"
"5v0","Ipmk",-0.399554028456552,6.74424119797254e-9,1.4877245532425549e-6,"RiboTag_Down","Not labeled"
"5v0","Adgrl1",0.24094745264606782,7.458552623484216e-9,1.580774417789037e-6,"RiboTag_Up","Labeled increased gene"
"5v0","Myc",-0.5821726869402081,7.431796516281773e-9,1.580774417789037e-6,"RiboTag_Down","Labeled decreased gene"
"5v0","Nell2",0.2452064804670228,8.315638518209606e-9,1.7285333989101467e-6,"RiboTag_Up","Not labeled"
"5v0","Ahr",-0.678746769323924,1.0328165900989157e-8,2.0947495622057566e-6,"RiboTag_Down","Not labeled"
"5v0","Hyou1",0.31808092268155375,1.0465026955232755e-8,2.0947495622057566e-6,"RiboTag_Up","Not labeled"
"5v0","Igfbp5",0.3120449952116068,1.0849809607659969e-8,2.1322834918035745e-6,"RiboTag_Up","Not labeled"
"5v0","Apcdd1",0.5477073043981996,1.424217746294235e-8,2.7199697986382077e-6,"RiboTag_Up","Not labeled"
"5v0","Msantd7",-0.3701458583887338,1.4343443290071037e-8,2.7199697986382077e-6,"RiboTag_Down","Not labeled"
"5v0","Arid5a",-0.6710827555256897,1.6332194698232402e-8,3.043701594710242e-6,"RiboTag_Down","Not labeled"
"5v0","Nrcam",0.2527327621390201,1.7716026070020627e-8,3.24563603035344e-6,"RiboTag_Up","Not labeled"
"5v0","Apaf1",-0.6479823696248549,1.8492512002096743e-8,3.307097056573223e-6,"RiboTag_Down","Not labeled"
"5v0","Insig1",0.36558873951885273,1.8835467565403882e-8,3.307097056573223e-6,"RiboTag_Up","Not labeled"
"5v0","Nedd9",-0.6727042950810178,1.896937899042833e-8,3.307097056573223e-6,"RiboTag_Down","Not labeled"
"5v0","Cadps2",-0.4919348285558736,2.225457522630385e-8,3.818249263827275e-6,"RiboTag_Down","Not labeled"
"5v0","Sv2a",0.2901575218747979,2.2913365012661546e-8,3.869852537841542e-6,"RiboTag_Up","Labeled increased gene"
"5v0","Zfp532",-0.32693637742735043,2.6196274235907685e-8,4.3562388956296335e-6,"RiboTag_Down","Not labeled"
"5v0","Atp1a3",0.22612835314802268,2.8381945909073784e-8,4.648188686836039e-6,"RiboTag_Up","Not labeled"
"5v0","Kcnq5",0.35834873993005206,3.406344315056983e-8,5.4953993584255124e-6,"RiboTag_Up","Not labeled"
"5v0","Ldlr",0.7412293278302107,3.565378401073717e-8,5.667378696647913e-6,"RiboTag_Up","Not labeled"
"5v0","Plxnb2",0.3955442456752957,4.430645173194906e-8,6.94070198218315e-6,"RiboTag_Up","Labeled increased gene"
"5v0","Zbtb21",-0.3020515427291548,4.529953358902794e-8,6.994895122340043e-6,"RiboTag_Down","Not labeled"
"5v0","Rhbdd3",0.7005302234640268,4.9615289131108055e-8,7.553403665044323e-6,"RiboTag_Up","Not labeled"
"5v0","Nptx1",0.2891320600617246,5.532185544248377e-8,8.305193548302876e-6,"RiboTag_Up","Labeled increased gene"
"5v0","Smoc2",0.3956481635237599,6.948280198068544e-8,1.0288213789167519e-5,"RiboTag_Up","Not labeled"
"5v0","Mthfd2",0.7522205244578059,7.141132733098908e-8,1.0430878880008933e-5,"RiboTag_Up","Not labeled"
"5v0","Scd2",0.3072923249758198,7.779980342200577e-8,1.1212507669179471e-5,"RiboTag_Up","Not labeled"
"5v0","Spock2",0.23277465346941303,9.117594787074405e-8,1.2967379217564112e-5,"RiboTag_Up","Not labeled"
"5v0","Slc7a1",0.3580410503854963,1.005996804438563e-7,1.4121843453475878e-5,"RiboTag_Up","Not labeled"
"5v0","Megf8",0.29445071944378653,1.0604830502865505e-7,1.4695847808394004e-5,"RiboTag_Up","Not labeled"
"5v0","Tle3",-0.4039030665030211,1.075734934073946e-7,1.4718504939753523e-5,"RiboTag_Down","Not labeled"
"5v0","Nectin3",0.45796141931729795,1.3178677720878692e-7,1.7806040935622224e-5,"RiboTag_Up","Not labeled"
"5v0","Robo2",0.35368193314891355,1.4055955830639391e-7,1.8756892169553233e-5,"RiboTag_Up","Not labeled"
"5v0","Ankrd28",-0.37093485325382036,1.512165145424457e-7,1.9692762719148138e-5,"RiboTag_Down","Not labeled"
"5v0","Arhgef3",-0.43721181062472886,1.498838382611313e-7,1.9692762719148138e-5,"RiboTag_Down","Not labeled"
"5v0","Dcc",0.3152846135862781,1.6416972429042658e-7,2.1125125593514533e-5,"RiboTag_Up","Not labeled"
"5v0","Mt2",-0.9216338789135116,1.6612551750763305e-7,2.1125302573411833e-5,"RiboTag_Down","Not labeled"
"5v0","Slc4a7",0.29785524077732844,1.768824414173265e-7,2.22316547590684e-5,"RiboTag_Up","Not labeled"
"5v0","Tra2b",-0.2898007048662535,1.8192399680526763e-7,2.2458182419267098e-5,"RiboTag_Down","Labeled decreased gene"
"5v0","Tspan7",0.2790189789596415,1.8284023063146494e-7,2.2458182419267098e-5,"RiboTag_Up","Not labeled"
"5v0","Nr4a2",-0.48657217086996185,2.0845045853637685e-7,2.531619108224379e-5,"RiboTag_Down","Not labeled"
"5v0","Arl4a",-0.47343383369844405,2.1677152632516867e-7,2.5748169538997233e-5,"RiboTag_Down","Not labeled"
"5v0","Pde1a",-0.3848001770691231,2.1626448711029862e-7,2.5748169538997233e-5,"RiboTag_Down","Not labeled"
"5v0","Ermp1",0.3007108952310286,2.192969500167661e-7,2.5765007964469834e-5,"RiboTag_Up","Not labeled"
"5v0","Lgi1",0.24932998989964492,2.2258208185213143e-7,2.5869781964942887e-5,"RiboTag_Up","Labeled increased gene"
"5v0","Plk2",-0.3820955045873642,2.433241492325331e-7,2.7979688606962234e-5,"RiboTag_Down","Not labeled"
